team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
VAN,2008,VAN,2008020036,VAN,WSH,AWAY,20081013,Team Level,other,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.051,0.059,0.071,0.031,0.641,0.147,0.051,0.051,0.051,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.051,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.014,0.0,0.0,0.065,0.065,0.065
VAN,2008,VAN,2008020036,VAN,WSH,AWAY,20081013,Team Level,all,0.4305,0.4,0.4,3600.0,19.68,2.009,1.408,4.415,0.601,11.916,8.716,1.978,1.98,1.95,10.0,20.0,12.0,42.0,1.0,1.0,0.0,4.0,1.0,13.0,10.0,9.0,29.0,4.0,8.0,30.0,26.0,14.0,4.0,24.0,4.0,2.0,0.666,0.513,0.83,0.0,0.0,1.0,39.711,30.0,29.279,2.0,0.316,0.176,0.176,2.084,2.059,2.048,31.868,2.658,2.086,7.503,1.077,17.655,14.02,2.487,2.705,2.529,35.0,10.0,18.0,63.0,5.0,4.0,2.0,5.0,2.0,18.0,11.0,30.0,40.0,4.0,8.0,29.0,17.0,18.0,26.0,35.0,7.0,3.0,1.173,0.684,0.801,4.0,0.0,1.0,67.188,45.0,46.21,14.0,0.441,0.861,0.861,2.239,2.266,2.236
VAN,2008,VAN,2008020036,VAN,WSH,AWAY,20081013,Team Level,5on5,0.3687,0.378,0.3684,2782.0,13.706,1.29,0.937,3.257,0.426,8.174,5.981,1.262,1.261,1.234,8.0,13.0,10.0,31.0,0.0,1.0,0.0,4.0,1.0,9.0,6.0,8.0,21.0,4.0,8.0,21.0,23.0,11.0,4.0,16.0,4.0,1.0,0.518,0.513,0.259,0.0,0.0,0.0,28.711,21.0,20.279,2.0,0.193,0.176,0.176,1.242,1.217,1.208,25.977,2.209,1.656,6.483,0.891,14.09,10.671,2.041,2.256,2.083,29.0,7.0,15.0,51.0,4.0,3.0,2.0,4.0,2.0,16.0,7.0,25.0,32.0,3.0,6.0,22.0,15.0,16.0,18.0,27.0,6.0,3.0,0.82,0.588,0.801,3.0,0.0,1.0,55.188,36.0,37.21,8.0,0.338,0.801,0.861,1.686,1.714,1.687
VAN,2008,VAN,2008020036,VAN,WSH,AWAY,20081013,Team Level,4on5,0.2483,0.2,0.2857,414.0,1.471,0.107,0.055,0.225,0.04,0.43,1.142,0.107,0.107,0.107,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,5.0,2.0,2.0,0.0,2.0,0.0,0.0,0.107,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.013,0.0,0.0,0.12,0.12,0.12,3.356,0.324,0.297,0.689,0.095,2.262,1.332,0.321,0.324,0.321,3.0,2.0,3.0,8.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,4.0,1.0,2.0,5.0,1.0,1.0,4.0,4.0,1.0,0.0,0.228,0.096,0.0,1.0,0.0,0.0,8.0,5.0,5.0,2.0,0.071,0.059,0.0,0.396,0.396,0.392
VAN,2008,VAN,2008020036,VAN,WSH,AWAY,20081013,Team Level,5on4,0.892,0.75,0.7,382.0,4.504,0.611,0.416,0.932,0.135,3.312,1.593,0.609,0.611,0.609,2.0,5.0,2.0,9.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,6.0,0.0,0.0,4.0,1.0,1.0,0.0,6.0,0.0,1.0,0.04,0.0,0.571,0.0,0.0,1.0,9.0,7.0,7.0,0.0,0.111,0.0,0.0,0.722,0.722,0.72,2.134,0.074,0.074,0.26,0.06,0.662,1.871,0.074,0.074,0.074,3.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,3.0,0.0,0.0,1.0,1.0,1.0,4.0,3.0,0.0,0.0,0.074,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,4.0,0.018,0.0,0.0,0.092,0.092,0.092
VAN,2008,VAN,2008020053,VAN,DET,AWAY,20081016,Team Level,other,0.7092,0.6,0.5714,210.0,2.123,0.217,0.111,0.443,0.062,1.021,1.211,0.211,0.217,0.211,3.0,1.0,2.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,3.0,1.0,0.0,0.119,0.098,0.0,1.0,0.0,0.0,6.0,4.0,4.0,0.0,0.028,0.065,0.065,0.18,0.18,0.18,1.886,0.089,0.114,0.45,0.07,1.339,0.938,0.087,0.089,0.087,1.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,2.0,1.0,0.0,1.0,3.0,0.0,0.0,0.089,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,0.0,0.028,0.0,0.0,0.116,0.116,0.114
VAN,2008,VAN,2008020053,VAN,DET,AWAY,20081016,Team Level,all,0.6004,0.4167,0.4286,3627.0,28.355,4.89,1.744,5.827,1.002,13.992,10.609,4.273,5.049,4.422,29.0,10.0,11.0,50.0,4.0,3.0,3.0,7.0,0.0,13.0,12.0,25.0,35.0,6.0,12.0,24.0,14.0,7.0,3.0,24.0,8.0,7.0,0.892,0.972,3.027,2.0,0.0,2.0,51.104,39.0,39.866,3.0,0.391,0.987,1.4,3.881,3.991,3.565,36.942,3.254,2.382,8.971,1.333,21.236,14.823,3.095,3.158,3.0,35.0,17.0,18.0,70.0,3.0,3.0,2.0,10.0,1.0,18.0,17.0,32.0,49.0,5.0,10.0,34.0,22.0,10.0,13.0,41.0,7.0,4.0,1.354,0.799,1.102,1.0,0.0,2.0,68.371,52.0,50.796,5.0,0.508,0.674,0.674,3.088,2.979,2.904
VAN,2008,VAN,2008020053,VAN,DET,AWAY,20081016,Team Level,5on5,0.5914,0.4333,0.4444,2669.0,23.633,3.442,1.467,5.136,0.896,12.086,8.973,3.194,3.601,3.343,24.0,8.0,7.0,39.0,3.0,2.0,2.0,7.0,0.0,12.0,8.0,21.0,29.0,6.0,12.0,17.0,13.0,5.0,3.0,20.0,7.0,5.0,0.762,0.874,1.807,1.0,0.0,2.0,40.104,32.0,32.866,3.0,0.305,0.921,1.335,2.412,2.522,2.473,29.104,2.378,1.793,7.089,1.028,16.066,11.646,2.282,2.282,2.188,28.0,12.0,11.0,51.0,1.0,2.0,1.0,7.0,1.0,13.0,16.0,27.0,39.0,3.0,6.0,23.0,21.0,7.0,11.0,32.0,5.0,3.0,1.032,0.568,0.778,0.0,0.0,1.0,49.371,40.0,38.796,5.0,0.365,0.351,0.351,2.393,2.283,2.256
VAN,2008,VAN,2008020053,VAN,DET,AWAY,20081016,Team Level,4on5,0.0,0.0,0.0,346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.333,0.77,0.454,1.321,0.214,3.615,1.626,0.709,0.77,0.709,5.0,3.0,4.0,12.0,2.0,1.0,1.0,2.0,0.0,2.0,1.0,3.0,6.0,2.0,4.0,5.0,0.0,1.0,1.0,5.0,2.0,1.0,0.216,0.23,0.324,1.0,0.0,1.0,12.0,8.0,8.0,0.0,0.109,0.324,0.324,0.556,0.556,0.511
VAN,2008,VAN,2008020053,VAN,DET,AWAY,20081016,Team Level,5on4,0.9864,0.625,0.75,402.0,2.6,1.231,0.166,0.248,0.045,0.885,0.425,0.869,1.231,0.869,2.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.011,0.0,1.22,0.0,0.0,0.0,5.0,3.0,3.0,0.0,0.059,0.0,0.0,1.29,1.29,0.913,0.62,0.017,0.02,0.111,0.022,0.216,0.613,0.017,0.017,0.017,1.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,0.017,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.006,0.0,0.0,0.023,0.023,0.023
