,home_or_away,avgGoalDif,avgHF,winStreak,avgPPG,daysSinceLast,win
120,0,1.375,15.625,3.0,1.5,2.0,False
121,0,1.25,17.0,0.0,1.25,2.0,True
122,0,1.125,18.25,1.0,1.25,2.0,True
123,1,1.5,20.375,2.0,1.5,3.0,True
124,1,1.875,20.875,3.0,1.5,2.0,True
125,1,2.625,21.5,4.0,1.75,2.0,False
126,1,2.25,23.0,0.0,1.5,2.0,False
127,0,1.75,22.875,0.0,1.25,2.0,False
128,1,0.875,23.875,0.0,1.0,3.0,True
129,0,1.375,23.625,1.0,1.25,4.0,True
130,1,1.375,22.25,2.0,1.25,1.0,True
131,1,1.25,19.75,3.0,1.25,2.0,True
132,1,1.25,19.375,4.0,1.25,2.0,True
133,1,0.875,17.875,5.0,1.25,2.0,True
134,0,1.0,16.0,6.0,1.5,3.0,True
135,0,1.375,15.75,7.0,1.75,3.0,False
136,0,1.625,15.25,0.0,1.75,2.0,False
137,0,0.875,15.75,0.0,1.5,2.0,False
138,0,0.75,17.125,0.0,1.25,3.0,False
139,0,0.375,15.875,0.0,1.0,2.0,True
140,0,0.25,16.25,1.0,1.0,1.0,True
141,0,0.25,18.625,2.0,1.0,2.0,False
142,0,-0.375,20.75,0.0,0.75,16.0,True
143,0,-0.5,21.125,1.0,0.75,1.0,True
144,0,0.0,22.25,2.0,1.0,2.0,False
145,0,-0.125,22.75,0.0,1.0,2.0,True
146,0,0.125,22.125,1.0,1.25,2.0,True
147,0,0.625,24.5,2.0,1.5,1.0,False
148,1,0.25,24.125,0.0,1.25,3.0,True
149,1,0.625,23.25,1.0,1.25,1.0,True
150,1,1.375,22.375,2.0,1.5,2.0,False
151,1,0.875,22.125,0.0,1.25,2.0,True
152,1,0.625,20.875,1.0,1.25,2.0,False
153,0,0.875,18.75,0.0,1.25,3.0,False
154,1,0.5,18.75,0.0,1.0,1.0,True
155,0,0.625,16.875,1.0,1.0,3.0,False
156,1,0.375,17.625,0.0,1.0,3.0,True
157,0,0.25,17.25,1.0,1.0,2.0,False
158,0,-0.625,19.125,0.0,0.75,1.0,False
159,1,-0.25,19.625,0.0,0.75,2.0,True
160,1,-0.25,18.125,1.0,0.75,2.0,False
161,0,-0.125,19.0,0.0,0.75,2.0,False
162,1,-0.25,18.5,0.0,0.75,2.0,True
163,1,0.0,0.0,0.0,0.0,0.0,False
164,1,0.0,0.0,0.0,0.0,2.0,True
165,0,0.0,0.0,1.0,0.0,2.0,False
166,0,0.0,0.0,0.0,0.0,2.0,False
167,1,0.0,0.0,0.0,0.0,2.0,True
168,0,0.0,0.0,1.0,0.0,2.0,False
169,0,0.0,0.0,0.0,0.0,1.0,False
170,1,0.0,0.0,0.0,0.0,2.0,True
171,1,0.125,27.0,1.0,0.75,4.0,True
172,1,0.25,26.125,2.0,1.0,6.0,True
173,0,0.5,25.0,3.0,1.0,1.0,True
174,0,0.75,23.875,4.0,1.25,2.0,True
175,1,1.375,23.0,5.0,1.5,2.0,True
176,0,1.125,24.75,6.0,1.5,3.0,False
177,0,1.375,24.5,0.0,1.5,2.0,True
178,0,1.875,23.125,1.0,1.75,2.0,True
179,0,1.625,22.25,2.0,1.75,2.0,False
180,0,1.375,21.5,0.0,1.5,2.0,False
181,1,0.75,22.125,0.0,1.25,3.0,False
182,1,-0.125,22.375,0.0,1.0,1.0,False
183,1,-0.5,21.375,0.0,0.75,3.0,True
184,1,-0.5,20.25,1.0,0.75,2.0,True
185,0,0.375,19.125,2.0,1.0,5.0,True
186,0,0.5,17.125,3.0,1.0,2.0,True
187,1,0.625,18.125,4.0,1.0,2.0,False
188,1,0.625,18.375,0.0,1.0,3.0,False
189,1,0.875,19.25,0.0,1.0,3.0,False
190,0,1.5,19.75,0.0,1.0,1.0,True
191,1,1.75,20.75,1.0,1.25,3.0,True
192,1,1.625,21.125,2.0,1.25,3.0,True
193,0,1.375,22.125,3.0,1.25,2.0,True
194,0,1.0,23.25,4.0,1.25,2.0,False
195,0,0.5,23.625,0.0,1.0,1.0,True
196,1,1.125,23.0,1.0,1.25,3.0,True
197,1,1.25,22.875,2.0,1.5,2.0,True
198,0,1.875,23.125,3.0,1.75,3.0,True
199,0,2.125,24.125,4.0,1.75,2.0,True
200,0,2.125,23.375,5.0,1.75,1.0,True
201,1,1.875,23.0,6.0,1.75,2.0,True
202,1,1.875,24.125,7.0,1.75,2.0,True
203,1,2.625,24.625,8.0,2.0,1.0,False
204,0,2.125,25.375,0.0,1.75,3.0,False
205,0,2.0,27.0,0.0,1.5,2.0,False
206,0,1.375,27.75,0.0,1.25,1.0,True
207,0,1.25,27.0,1.0,1.25,2.0,False
208,0,0.625,27.625,0.0,1.0,2.0,False
209,1,0.375,26.375,0.0,0.75,2.0,False
210,1,0.125,25.75,0.0,0.5,2.0,False
211,1,-0.5,23.5,0.0,0.25,2.0,True
212,1,0.25,23.375,1.0,0.5,2.0,True
213,0,0.375,20.625,2.0,0.75,6.0,True
214,0,0.875,19.0,3.0,1.0,1.0,True
215,1,1.375,18.875,4.0,1.0,2.0,True
216,1,2.0,18.375,5.0,1.25,3.0,True
217,1,2.375,19.5,6.0,1.5,2.0,False
218,1,2.25,19.5,0.0,1.5,3.0,True
219,0,2.5,21.25,1.0,1.75,2.0,False
220,0,1.625,20.125,0.0,1.5,1.0,True
221,0,1.875,19.875,1.0,1.5,2.0,False
222,1,1.25,19.75,0.0,1.25,2.0,True
223,1,0.875,20.25,1.0,1.25,3.0,False
224,1,0.625,20.375,0.0,1.0,2.0,True
225,1,0.5,19.75,1.0,1.0,2.0,False
226,1,0.375,21.375,0.0,1.0,3.0,False
227,1,0.125,20.5,0.0,0.75,2.0,False
228,0,-0.125,21.25,0.0,0.75,2.0,True
229,0,-0.25,22.5,1.0,0.75,1.0,True
230,0,0.375,23.25,2.0,1.0,2.0,True
231,0,0.125,23.25,3.0,1.0,2.0,False
232,0,0.25,23.625,0.0,1.0,2.0,True
233,1,0.25,23.375,1.0,1.0,2.0,True
234,1,0.75,21.5,2.0,1.25,2.0,True
235,1,1.0,20.75,3.0,1.5,2.0,False
236,0,1.125,19.5,0.0,1.5,5.0,True
237,0,1.0,20.0,1.0,1.5,2.0,True
238,0,0.875,19.375,2.0,1.5,2.0,True
239,0,1.125,18.25,3.0,1.5,2.0,True
240,1,1.375,17.125,4.0,1.75,2.0,True
241,1,1.5,17.75,5.0,1.75,2.0,False
242,0,0.875,19.0,0.0,1.5,3.0,False
243,1,0.375,18.625,0.0,1.25,2.0,True
